label,region,R,G,B,A
499,other_wmsa,0.99609375,0.96875,0.859375,1
500,right_CA2_3,0.06640625,0.33203125,0.53125,1
501,right_alveus,0.46484375,0.73046875,0.3984375,1
502,right_CA1,0.796875,0.265625,0.1328125,1
503,right_fimbria,0.796875,0.0,0.99609375,1
504,right_presubiculum,0.86328125,0.73046875,0.06640625,1
505,right_hippocampal_fissure,0.59765625,0.86328125,0.9296875,1
506,right_CA4_DG,0.19921875,0.06640625,0.06640625,1
507,right_subiculum,0.0,0.46484375,0.33203125,1
508,right_fornix,0.078125,0.390625,0.78125,1
550,left_CA2_3,0.06640625,0.33203125,0.53515625,1
551,left_alveus,0.46484375,0.73046875,0.40234375,1
552,left_CA1,0.796875,0.265625,0.13671875,1
553,left_fimbria,0.796875,0.0,0.9921875,1
554,left_presubiculum,0.86328125,0.73046875,0.0625,1
555,left_hippocampal_fissure,0.59765625,0.86328125,0.93359375,1
556,left_CA4_DG,0.19921875,0.06640625,0.0703125,1
557,left_subiculum,0.0,0.46484375,0.3359375,1
558,left_fornix,0.078125,0.390625,0.78515625,1
600,Tumor,0.9921875,0.9921875,0.9921875,1
601,Cbm_Left_I_IV,0.2734375,0.5078125,0.703125,1
602,Cbm_Right_I_IV,0.95703125,0.95703125,0.95703125,1
603,Cbm_Left_V,0.80078125,0.2421875,0.3046875,1
604,Cbm_Right_V,0.46875,0.0703125,0.5234375,1
605,Cbm_Left_VI,0.765625,0.2265625,0.9765625,1
606,Cbm_Vermis_VI,0.0,0.578125,0.0,1
607,Cbm_Right_VI,0.859375,0.96875,0.640625,1
608,Cbm_Left_CrusI,0.8984375,0.578125,0.1328125,1
609,Cbm_Vermis_CrusI,0.0,0.4609375,0.0546875,1
610,Cbm_Right_CrusI,0.0,0.4609375,0.0546875,1
611,Cbm_Left_CrusII,0.4765625,0.7265625,0.859375,1
612,Cbm_Vermis_CrusII,0.921875,0.05078125,0.6875,1
613,Cbm_Right_CrusII,0.046875,0.1875,0.99609375,1
614,Cbm_Left_VIIb,0.796875,0.7109375,0.5546875,1
615,Cbm_Vermis_VIIb,0.1640625,0.796875,0.640625,1
616,Cbm_Right_VIIb,0.46484375,0.62109375,0.6875,1
617,Cbm_Left_VIIIa,0.859375,0.84375,0.078125,1
618,Cbm_Vermis_VIIIa,0.40234375,0.99609375,0.99609375,1
619,Cbm_Right_VIIIa,0.3125,0.765625,0.3828125,1
620,Cbm_Left_VIIIb,0.234375,0.2265625,0.8203125,1
621,Cbm_Vermis_VIIIb,0.234375,0.2265625,0.8203125,1
622,Cbm_Right_VIIIb,0.234375,0.2265625,0.8203125,1
623,Cbm_Left_IX,0.234375,0.2265625,0.8203125,1
624,Cbm_Vermis_IX,0.234375,0.234375,0.234375,1
625,Cbm_Right_IX,0.99609375,0.64453125,0.0,1
626,Cbm_Left_X,0.99609375,0.64453125,0.0,1
627,Cbm_Vermis_X,0.0,0.99609375,0.49609375,1
628,Cbm_Right_X,0.64453125,0.1640625,0.1640625,1
640,Cbm_Right_I_V_med,0.796875,0.0,0.0,1
641,Cbm_Right_I_V_mid,0.99609375,0.0,0.0,1
642,Cbm_Right_VI_med,0.0,0.0,0.99609375,1
643,Cbm_Right_VI_mid,0.1171875,0.5625,0.99609375,1
644,Cbm_Right_VI_lat,0.390625,0.828125,0.92578125,1
645,Cbm_Right_CrusI_med,0.8515625,0.64453125,0.125,1
646,Cbm_Right_CrusI_mid,0.99609375,0.83984375,0.0,1
647,Cbm_Right_CrusI_lat,0.99609375,0.99609375,0.6484375,1
648,Cbm_Right_CrusII_med,0.59765625,0.0,0.796875,1
649,Cbm_Right_CrusII_mid,0.59765625,0.55078125,0.81640625,1
650,Cbm_Right_CrusII_lat,0.796875,0.796875,0.99609375,1
651,Cbm_Right_7med,0.12109375,0.828125,0.7578125,1
652,Cbm_Right_7mid,0.01171875,0.99609375,0.92578125,1
653,Cbm_Right_7lat,0.796875,0.99609375,0.99609375,1
654,Cbm_Right_8med,0.3359375,0.2890625,0.57421875,1
655,Cbm_Right_8mid,0.4453125,0.4453125,0.7421875,1
656,Cbm_Right_8lat,0.71875,0.6953125,0.99609375,1
657,Cbm_Right_PUNs,0.4921875,0.5390625,0.14453125,1
658,Cbm_Right_TONs,0.73828125,0.76953125,0.45703125,1
659,Cbm_Right_FLOs,0.9375,0.8984375,0.546875,1
660,Cbm_Left_I_V_med,0.796875,0.0,0.0,1
661,Cbm_Left_I_V_mid,0.99609375,0.0,0.0,1
662,Cbm_Left_VI_med,0.0,0.0,0.99609375,1
663,Cbm_Left_VI_mid,0.1171875,0.5625,0.99609375,1
664,Cbm_Left_VI_lat,0.390625,0.828125,0.92578125,1
665,Cbm_Left_CrusI_med,0.8515625,0.64453125,0.125,1
666,Cbm_Left_CrusI_mid,0.99609375,0.83984375,0.0,1
667,Cbm_Left_CrusI_lat,0.99609375,0.99609375,0.6484375,1
